Work Arrangement,Job Satisfaction,Age,Gender
Face-to-face,6,23,Female
Remote,8,25,Male
Hybrid,5,18,Male
Remote,4,24,Male
Hybrid,2,28,Male
Face-to-face,10,28,Male
Remote,5,57,Female
Remote,10,19,Male
Hybrid,4,24,Female
Remote,10,30,Male
Hybrid,10,33,Female
Remote,2,34,Male
Hybrid,5,29,Male
Remote,8,24,Male
Remote,10,27,Female
Remote,6,36,Male
Hybrid,5,38,Male
Remote,10,36,Male
Hybrid,10,32,Male
Face-to-face,2,45,Male
Hybrid,2,51,Male
Hybrid,5,65,Male
Remote,5,36,Male
Hybrid,10,27,Male
Remote,8,57,Female
Hybrid,1,24,Male
Hybrid,9,55,Female
Face-to-face,8,33,Male
Hybrid,2,21,Female
Remote,8,22,Female
Face-to-face,3,27,Male
Remote,10,41,Male
Face-to-face,5,55,Male
Face-to-face,10,45,Male
Remote,8,43,Male
Face-to-face,1,56,Male
Remote,10,37,Male
Remote,10,39,Male
Face-to-face,6,40,Male
Hybrid,8,49,Male
Hybrid,1,44,Male
Hybrid,8,49,Male
Face-to-face,8,36,Male
Face-to-face,8,22,Male
Face-to-face,10,46,Male
Hybrid,8,38,Male
Face-to-face,8,56,Male
Remote,7,58,Male
Hybrid,10,45,Male
Remote,10,48,Male
Face-to-face,5,39,Female
Hybrid,10,24,Male
Hybrid,10,33,Male
Remote,8,36,Female
Hybrid,10,50,Male
Remote,10,46,Male
Hybrid,10,22,Male
Hybrid,2,55,Male
Face-to-face,8,53,Male
Hybrid,10,45,Male
Remote,10,35,Male
Remote,10,22,Male
Hybrid,8,26,Male
Remote,7,34,Female
Face-to-face,8,44,Male
Hybrid,2,54,Female
Face-to-face,6,35,Male
Face-to-face,10,44,Female
Remote,7,34,Male
Remote,8,65,Male
Hybrid,10,60,Female
Remote,8,48,Male
Remote,10,64,Male
Hybrid,2,52,Male
Face-to-face,8,64,Male
Remote,1,27,Male
Remote,2,33,Male
Face-to-face,10,36,Male
Hybrid,9,40,Female
Hybrid,10,45,Male
Remote,8,55,Male
Face-to-face,2,47,Female
Face-to-face,10,30,Male
Remote,2,25,Male
Remote,2,35,Male
Hybrid,8,25,Male
Face-to-face,2,24,Male
Remote,8,64,Male
Hybrid,10,63,Male
Face-to-face,10,40,Male
Remote,10,52,Male
Hybrid,10,38,Male
Hybrid,8,45,Male
Remote,10,66,Male
Hybrid,4,67,Male
Remote,1,36,Male
Hybrid,2,54,Female
Remote,9,48,Male
Face-to-face,9,35,Male
